Filename,Code,Product,Ordered,Qty,Ordered_Cases,Ordered_Units,Delivered_Cases,Delivered_Units,Case_Size,Total_Ordered_Units,Total_Delivered_Units,RSP,Price,Unit_Cost,Tax,Value,Price_Valid,Calc_Method,Expected_Value
Invoice(46).pdf,50630A,Feel Good Organic KSetrawberry Milk Kefir (Org) 1x250ml,2,2,0,2.0,0,2.0,1,2.0,2.0,2.93,2.09,2.09,0.00,4.18,✓,,
Invoice(46).pdf,26441A,Doves Farm Digestive Biscuits (Org) 12x400g,1/0,1/0,1.0,0.0,1.0,0.0,12,12.0,12.0,3.87,29.26,2.44,3.95,29.26,✓,,
Invoice(46).pdf,49345B,Fushi Shilajit Blend with Tulsi & Mucuna 1x60Caps,1,1,0,1.0,0,1.0,1,1.0,1.0,42.77,25.12,25.12,3.39,25.12,✓,,
Invoice(46).pdf,50438A,Holle Apple & Berries Penguin Porridge (Or 18x110g,1/0,1/0,1.0,0.0,1.0,0.0,18,18.0,18.0,1.42,18.27,1.01,0.00,18.27,✓,,
Invoice(46).pdf,11605B,IND Prepack Herbs Celery Seeds 3x50g,1/0,1/0,1.0,0.0,1.0,0.0,3,3.0,3.0,3.81,7.62,2.54,0.00,7.62,✓,,
Invoice(46).pdf,27005B,IND Prepack Herbs Onion Powder 3x25g,1/0,1/0,1.0,0.0,1.0,0.0,3,3.0,3.0,1.76,3.52,1.17,0.00,3.52,✓,,
Invoice(46).pdf,47834B,Lavera Natural & Strong Roll-On 1x50ml,1,1,0,1.0,0,1.0,1,1.0,1.0,12.72,6.89,6.89,1.58,6.89,✓,,
Invoice(46).pdf,30148A,Lavera Men Moisturising Cream (Org) 1x30ml,1,1,0,1.0,0,1.0,1,1.0,1.0,15.14,8.21,8.21,1.89,8.21,✓,,
Invoice(46).pdf,48011A,Naturae Aloe Vera Juice w Pulp (Org) 1x1L,1,1,0,1.0,0,1.0,1,1.0,1.0,12.30,7.22,7.22,0.97,7.22,✓,,
Invoice(46).pdf,44805B,Roll It Pastry Shortcrust Pastry - Gluten Free 1x400g,1,1,0,1.0,0,1.0,1,1.0,1.0,10.23,6.44,6.44,0.87,6.43,✓,,
Invoice(46).pdf,40752A,Sonnentor Parsley Cut (Org) 6x15g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,2.54,10.87,1.81,0.00,10.87,✓,,
Invoice(46).pdf,16448B,St.James Filo Pastry 10x400g,0/1,0/1,0.0,1.0,0.0,1.0,10,1.0,1.0,3.48,21.91,2.19,0.30,2.19,✓,,
Invoice(46).pdf,17369A,Thai Gold Thai Coconut Milk (Org) 12x400ml,1/0,1/0,1.0,0.0,1.0,0.0,12,12.0,12.0,2.72,23.29,1.94,0.00,23.29,✓,,
Invoice(46).pdf,50629A,Feel Good Organic KBelueberry Milk Kefir (Org) 1x250ml,2,0,0,2.0,0,0.0,1,2.0,0.0,2.93,2.09,2.09,0.00,0.00,✓,,
Invoice(46).pdf,38957A,Clearspring Silverskin Onions Sweet & Sour (Org) 6x350g,1/0,0/0,1.0,0.0,0.0,0.0,6,6.0,0.0,4.23,18.13,3.02,0.00,0.00,✓,,
Invoice(46).pdf,14945A,Rayners Golden Syrup (Org) 6x340g,1/0,0/0,1.0,0.0,0.0,0.0,6,6.0,0.0,7.10,30.41,5.07,0.00,0.00,✓,,
Invoice(46).pdf,45073B,Roll It Pastry Sweet Shortcrust Pastry 1x400g,1,0,0,1.0,0,0.0,1,1.0,0.0,8.70,5.48,5.48,0.00,0.00,✓,,
Invoice(46).pdf,45074B,Roll It Pastry Plain Shortcrust Pastry 1x400g,1,0,0,1.0,0,0.0,1,1.0,0.0,8.52,5.36,5.36,0.00,0.00,✓,,
Invoice(46).pdf,46379B,Together Health Citrus Vitamin C 1x30Caps,1,0,0,1.0,0,0.0,1,1.0,0.0,10.62,4.99,4.99,0.00,0.00,✓,,
