Code,Product,Ordered,Qty,RSP,Price,Tax,Value
50630A,Feel Good Organic KSetrawberry Milk Kefir (Org) 1x250ml,2,2,2.93,2.09,0.00,4.18
26441A,Doves Farm Digestive Biscuits (Org) 12x400g,1/0,1/0,3.87,29.26,3.95,29.26
49345B,Fushi Shilajit Blend with Tulsi & Mucuna 1x60Caps,1,1,42.77,25.12,3.39,25.12
50438A,Holle Apple & Berries Penguin Porridge (Or 18x110g,1/0,1/0,1.42,18.27,0.00,18.27
11605B,IND Prepack Herbs Celery Seeds 3x50g,1/0,1/0,3.81,7.62,0.00,7.62
27005B,IND Prepack Herbs Onion Powder 3x25g,1/0,1/0,1.76,3.52,0.00,3.52
47834B,Lavera Natural & Strong Roll-On 1x50ml,1,1,12.72,6.89,1.58,6.89
30148A,Lavera Men Moisturising Cream (Org) 1x30ml,1,1,15.14,8.21,1.89,8.21
48011A,Naturae Aloe Vera Juice w Pulp (Org) 1x1L,1,1,12.30,7.22,0.97,7.22
44805B,Roll It Pastry Shortcrust Pastry - Gluten Free 1x400g,1,1,10.23,6.44,0.87,6.43
40752A,Sonnentor Parsley Cut (Org) 6x15g,1/0,1/0,2.54,10.87,0.00,10.87
16448B,St.James Filo Pastry 10x400g,0/1,0/1,3.48,21.91,0.30,2.19
17369A,Thai Gold Thai Coconut Milk (Org) 12x400ml,1/0,1/0,2.72,23.29,0.00,23.29
50629A,Feel Good Organic KBelueberry Milk Kefir (Org) 1x250ml,2,0,2.93,2.09,0.00,0.00
38957A,Clearspring Silverskin Onions Sweet & Sour (Org) 6x350g,1/0,0/0,4.23,18.13,0.00,0.00
14945A,Rayners Golden Syrup (Org) 6x340g,1/0,0/0,7.10,30.41,0.00,0.00
45073B,Roll It Pastry Sweet Shortcrust Pastry 1x400g,1,0,8.70,5.48,0.00,0.00
45074B,Roll It Pastry Plain Shortcrust Pastry 1x400g,1,0,8.52,5.36,0.00,0.00
46379B,Together Health Citrus Vitamin C 1x30Caps,1,0,10.62,4.99,0.00,0.00
