Invoice No,Order,CaseUnits,Product Name,Supplier Code,VAT,Barcode,New Cost,Invoiced,Value,VAT Amount
IN456378 ,1,1,IND Bulk Organic IND Cacao Powder 5Kg,37497A,0%,5391517059809,80.33,1,80.33,0.0
IN456378,1,1,IND Bulk Organic IND Desiccated Coconut 5kg,16285A,0%,5391517065060,40.58,1,40.58,0.0
IN456378 ,1,1,IND Bulk Non OrganiIcND Xylitol 5Kg,28986B,0%,5391517059236,54.46,1,54.46,0.0
IN456378,1,1,IND Bulk Organic IND Coconut Flour 2.5kg,32870A,0%,5391517067149,9.01,1,9.01,0.0
IN456378,1,1,NutraTea Mullein Leaf & Thyme 20Bags,49311B,0%,5060394428397,5.04,1,5.04,0.0
IN456378,1,1,Natures Answer Mullein Leaf 30ml,51100B,13.5%,83000006487,12.54,1,12.54,1.69
,,,,,,,,,,0.0
IN456377 ,3,1,Taifun Grill Sausages 250g,14167A,0%,4012359130006,4.52,3,13.56,0.0
IN456377 ,1,1,Kingfisher Childrens Strawberry Toothpaste 100ml,33281B,23%,5016911311208,3.03,1,3.03,0.7
IN456377 ,1,1,Kingfisher Mint Toothpaste with Fluoride 100ml,48138B,23%,5016912054531,3.03,1,3.03,0.7
IN456377 ,3,1,True Natural GoodneTsurmeric 250g,37966A,0%,5391517069211,4.08,3,12.24,0.0
IN456377 ,1,1,Lord of Tofu Tofu w/Tomato Basil 160g,40915A,0%,4260019320032,2.03,1,2.03,0.0
IN456377 ,1,9,Doves Farm Brown Rice Spaghetti GF 400g,17605A,0%,5011766666619,3.67,9,33.03,0.0
IN456377 ,1,1,True Natural GoodneCshocolate Whey Protein 250g,51053A,13.5%,5391539170827,8.99,1,8.99,1.21
IN456377 ,1,1,Kingfisher Aloe Vera Tea Tree Fennel Toothpaste 100ml,16247B,23%,5016912212894,3.03,1,3.03,0.7
IN456377 ,4,1,Taifun Tofu Fillets Japanese Style GF 160g,14170A,0%,4012359144003,3.21,4,12.84,0.0
IN456377 ,3,1,Juspy Collagen Protein Cacao Superfood Ble 400g,49417B,13.5%,5392000193826,20.34,3,61.02,8.24
IN456377 ,1,1,Lord of Tofu Tofu Natural 200g,40917A,0%,4260019320209,1.77,1,1.77,0.0
IN456377 ,2,1,Urtekram Coconut Leave In Spray-Conditioner ( 250ml,39829A,23%,5765228837917,5.86,2,11.72,2.7
IN456377 ,1,12,Suma Hemp Oil & Vitamin E Soap 90g,19990B,23%,5017601027379,1.75,12,21.0,4.83
