filename,page,line_on_page,code,confidence,reason,text
Invoice(41).pdf,1,3,,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(41).pdf,1,5,,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(41).pdf,1,13,353,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(41).pdf,1,27,,MEDIUM,Contains special characters,0 0.00 62.30 0.00 DRS 15c 0 0.00 Tax: 0.00
Invoice(41).pdf,1,28,DRS,MEDIUM,Only 4 fields (expected 8),DRS 25c 0 0.00
Invoice(44).pdf,1,3,,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(44).pdf,1,5,,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(44).pdf,1,13,353,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(44).pdf,1,20,,MEDIUM,Contains special characters,0 0.00 74.51 0.00 DRS 15c 0 0.00 Tax: 0.00
Invoice(44).pdf,1,21,DRS,MEDIUM,Only 4 fields (expected 8),DRS 25c 0 0.00
Invoice(43).pdf,1,3,,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(43).pdf,1,5,,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(43).pdf,1,13,353,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(43).pdf,2,3,,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(43).pdf,2,5,,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(43).pdf,2,13,353,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(43).pdf,3,3,,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(43).pdf,3,5,,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(43).pdf,3,13,353,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(43).pdf,4,3,,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(43).pdf,4,5,,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(43).pdf,4,13,353,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(43).pdf,5,3,,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(43).pdf,5,5,,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(43).pdf,5,13,353,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(43).pdf,6,3,,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(43).pdf,6,5,,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(43).pdf,6,13,353,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(43).pdf,6,30,,MEDIUM,Contains special characters,1 23.00 671.03 154.31 DRS 15c 11 1.65 Tax: 203.99
Invoice(43).pdf,6,31,,MEDIUM,Contains special characters,"0 0.00 1,487.27 0.00 DRS 25c 0 0.00"
Invoice(43).pdf,6,33,,MEDIUM,Only 4 fields (expected 8),2 13.50 368.02 49.68
Invoice(42).pdf,1,3,,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(42).pdf,1,5,,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(42).pdf,1,13,353,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(42).pdf,2,3,,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(42).pdf,2,5,,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(42).pdf,2,13,353,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(42).pdf,2,22,,MEDIUM,Contains special characters,1 23.00 228.38 52.54 DRS 15c 0 0.00 Tax: 52.54
Invoice(42).pdf,2,23,,MEDIUM,Unknown,0 0.00 190.40 0.00 DRS 25c 0 0.00
Invoice(42).pdf,2,25,,MEDIUM,Only 4 fields (expected 8),2 0.00 0.00 0.00
