filename,page,line_on_page,confidence,reason,text
Invoice(33).pdf,1,3,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(33).pdf,1,5,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(33).pdf,1,13,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(33).pdf,2,3,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(33).pdf,2,5,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(33).pdf,2,13,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(33).pdf,3,3,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(33).pdf,3,5,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(33).pdf,3,13,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(33).pdf,4,3,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(33).pdf,4,5,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(33).pdf,4,13,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(33).pdf,5,3,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(33).pdf,5,5,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(33).pdf,5,13,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(33).pdf,6,3,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(33).pdf,6,5,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(33).pdf,6,13,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(33).pdf,6,36,MEDIUM,Contains special characters,1 23.00 978.66 225.11 DRS 15c 14 2.10 Tax: 275.14
Invoice(33).pdf,6,37,MEDIUM,Contains special characters,"0 0.00 1,436.95 0.00 DRS 25c 0 0.00"
Invoice(33).pdf,6,39,MEDIUM,Only 4 fields (expected 8),2 13.50 370.59 50.03
Invoice(34).pdf,1,3,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(34).pdf,1,5,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(34).pdf,1,13,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(34).pdf,2,2,MEDIUM,Contains special characters,1 23.00 190.95 43.91 DRS 15c 0 0.00 Tax: 43.91
Invoice(34).pdf,2,3,MEDIUM,Unknown,0 0.00 291.31 0.00 DRS 25c 0 0.00
Invoice(35).pdf,1,3,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(35).pdf,1,5,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(35).pdf,1,13,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(35).pdf,1,19,MEDIUM,Contains special characters,0 0.00 24.63 0.00 DRS 15c 0 0.00 Tax: 13.19
Invoice(35).pdf,1,20,MEDIUM,Unknown,1 23.00 57.35 13.19 DRS 25c 0 0.00
