Filename,Code,Product,Ordered,Qty,Ordered_Cases,Ordered_Units,Delivered_Cases,Delivered_Units,Case_Size,Total_Ordered_Units,Total_Delivered_Units,RSP,Price,Unit_Cost,Tax,Value,Price_Valid,Calc_Method,Expected_Value
Invoice(38).pdf,49148B,Be Kind Hollywood Frankincense & Myrrh 1x10Sticks,1,1,0,1.0,0,1.0,1,1.0,1.0,9.99,5.42,5.42,1.25,5.42,✓,,
Invoice(38).pdf,12042A,Holle Millet Porridge 6x250g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,3.78,16.18,2.70,0.00,16.18,✓,,
Invoice(38).pdf,12056A,Holle Rolled Oats Porridge (Org) fr 4mths 6x250g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,3.27,14.01,2.33,0.00,14.01,✓,,
Invoice(38).pdf,12057A,Holle Semolina Porridge (Org) fr 6mths 6x250g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,3.27,14.01,2.33,0.00,14.01,✓,,
Invoice(38).pdf,18116B,Holle Holle Baby Food Advisor Booklet 1x1,1,1,0,1.0,0,1.0,1,1.0,1.0,N/A,0.00,0.00,0.00,0.00,✓,,
Invoice(38).pdf,47647A,Holle Spelt Crispy Sticks (Org) 6x80g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,2.11,9.05,1.51,0.00,9.05,✓,,
Invoice(38).pdf,50439A,Holle Banana Berries Tiger Porridge (Org) 18x110g,1/0,0/0,1.0,0.0,0.0,0.0,18,18.0,0.0,1.42,18.27,1.01,0.00,0.00,✓,,
Invoice(37).pdf,32432A,IND Prepacks OrganBicrown Rice Puffs (Org) 6x150g,2/0,2/0,2.0,0.0,2.0,0.0,6,12.0,12.0,2.41,9.63,1.61,0.00,19.25,✓,,
Invoice(37).pdf,51149B,Shines of Killybegs Skipjack Tuna in Organic Olive Oil 1x150g,1,1,0,1.0,0,1.0,1,1.0,1.0,6.16,4.40,4.40,0.00,4.40,✓,,
Invoice(37).pdf,51172B,Feel Complete Cayenne & Paprika Sea Salt 1x80g,1,0,0,1.0,0,0.0,1,1.0,0.0,8.36,5.97,5.97,0.00,0.00,✓,,
Invoice(37).pdf,51173B,Feel Complete Wild Garlic Sea Salt 1x80g,1,0,0,1.0,0,0.0,1,1.0,0.0,8.36,5.97,5.97,0.00,0.00,✓,,
Invoice(37).pdf,51174B,Feel Complete Mushroom & Herbs 1x80g,1,0,0,1.0,0,0.0,1,1.0,0.0,8.36,5.97,5.97,0.00,0.00,✓,,
Invoice(35).pdf,49036A,All About KombuchaRaspberry Can (Org)(DRS) 1x330ml,7,7,0,7.0,0,7.0,1,7.0,7.0,3.70,2.15,2.15,3.46,15.05,✓,,
Invoice(35).pdf,49036D,All About KombuchaDeposit Raspberry Can (Org) DRS-1,0,7,0,0.0,0,7.0,,0.0,7.0,0.15,0.15,0.15,0.00,1.05,✓,,
Invoice(35).pdf,14528A,Atlantic Aromatics Geranium Bourbon (Rose Geranium) (Or 3x5ml,1/0,1/0,1.0,0.0,1.0,0.0,3,3.0,3.0,8.75,14.22,4.74,3.27,14.22,✓,,
Invoice(35).pdf,14548A,Atlantic Aromatics Peppermint (Org) 3x10ml,1/0,1/0,1.0,0.0,1.0,0.0,3,3.0,3.0,8.75,14.23,4.74,3.27,14.22,✓,,
Invoice(35).pdf,13197B,Avalon Organics Lavender Shampoo 1x325ml,2,2,0,2.0,0,2.0,1,2.0,2.0,12.52,6.79,6.79,3.12,13.57,✓,,
Invoice(35).pdf,13207B,Avalon Organics Tea Tree Shampoo 1x325ml,2,2,0,2.0,0,2.0,1,2.0,2.0,12.52,6.79,6.79,3.12,13.57,✓,,
Invoice(35).pdf,49407B,Avalon Organics Rosemary Conditioner 1x312g,2,2,0,2.0,0,2.0,1,2.0,2.0,12.52,6.79,6.79,3.12,13.57,✓,,
Invoice(35).pdf,33912A,Bergerie Goat's Natural Yoghurt (Org) 8x125g,0/4,0/4,0.0,4.0,0.0,4.0,8,4.0,4.0,1.17,6.69,0.84,0.00,3.35,✓,,
Invoice(35).pdf,43023A,Bergerie Goat's Yoghurt Vanilla (Org) 8x125g,2/0,2/0,2.0,0.0,2.0,0.0,8,16.0,16.0,1.53,8.73,1.09,0.00,17.46,✓,,
Invoice(35).pdf,43571A,Bergerie Goat's Natural Yoghurt (Org) 6x400g,0/4,0/4,0.0,4.0,0.0,4.0,6,4.0,4.0,4.85,20.78,3.46,0.00,13.85,✓,,
Invoice(35).pdf,42627A,Natural Cool Cranberries (Org) 10x300g,0/1,0/1,0.0,1.0,0.0,1.0,10,1.0,1.0,4.37,31.19,3.12,0.00,3.12,✓,,
Invoice(35).pdf,45602B,BioKult Bio Kult Boosted 1x30Caps,1,1,0,1.0,0,1.0,1,1.0,1.0,29.37,17.25,17.25,2.33,17.25,✓,,
Invoice(35).pdf,50153B,Biohealth Vitamin E Cream 1x84g,1,1,0,1.0,0,1.0,1,1.0,1.0,16.90,9.16,9.16,2.11,9.16,✓,,
Invoice(35).pdf,14027A,Biona Blackeye Beans (Org) 6x400g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,1.89,6.49,1.08,0.00,6.49,✓,,
Invoice(35).pdf,14050A,Biona Cranberry Fruit Drink NAS 6x750ml,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,7.04,24.52,4.09,5.64,24.52,✓,,
Invoice(35).pdf,14101A,Biona Pumpernickel Bread (Org) 9x500g,1/0,1/0,1.0,0.0,1.0,0.0,9,9.0,9.0,2.93,15.07,1.67,0.00,15.07,✓,,
