Code,Product,Ordered,Qty,RSP,Price,Tax,Value
20534A,Biona Tart Cherry Juice Pure (Org) 6x1L,1/0,1/0,8.53,29.73,6.84,29.73
11118B,Bulk Flour Doves White Rice Flour G/F 1x16kg,1,1,0,32.28,0,32.28
45735A,Bulk Flour Strong White Flour 550 (Org) 1x25Kg,1,1,0,38.22,0,38.22
27697A,Bulk Sugar Coconut Palm Sugar (Org) 1x20kg,1,1,0,122.32,0,122.32
10701A,"Clearspring Kukicha, Roasted Twig Tea - Loose td 6x90g",1/0,1/0,5.97,25.58,0,25.58
46707A,Dr Martins Jungle Coconut Water FT (Org) 15x330ml,1/0,1/0,2.43,21.15,4.86,21.15
42347A,Free and Easy Sweet Potato Kale Coconut Curry (Org 6x400g,1/0,1/0,4.63,19.85,0,19.85
10515A,IND Bulk Organic IND Dates (Org) 1x2.5kg,2,2,22.5,15,0,30
32870A,IND Bulk Organic IND Coconut Flour (Org) 1x2.5kg,1,1,13.52,9.01,0,9.01
49952B,Kiki (*EM*) Himalayan Shilajit Resin 1x30g,1,1,49.54,26.19,3.54,26.19
27936B,IND POS Info Wobbler - Coconut 1x1,1,1,N/A,0.5,0.12,0.5
13761A,Rabenhorst Wheatgrass Cocktail In Balance(Org) 6x750ml,1/0,1/0,5.58,19.44,4.47,19.44
22742A,Sojade Vanilla Soya Yoghurt (Org) 6x400g,0/2,0/2,3.37,14.44,0,4.81
47979A,Sojade Vanilla Dessert (Org) 8x530g,0/2,0/2,2.64,15.06,0,3.76
50882A,Sojade Soya Cooking Cream (Org) 8x500ml,0/2,0/2,3.29,18.79,0,4.7
48956B,Wild Coconut & Vanilla Deo 8x40g,0/1,0/1,8.79,40.83,1.17,5.1
33320A,Zaytoun Freekeh 6x200g,1/0,1/0,4.96,21.25,0,21.25
40623B,Zaytoun Caramelised Almonds FT 6x140g,1/0,1/0,10.18,35.46,8.16,35.46
51307B,Wild Atlantic Ice Wild Atlantic Irish Ice 1x2Kg,1,0,1.57,0.91,0,0
49037A,All About KombuchaGinger & Lemon Can (Org)(DRS) 1x330ml,10,10,3.7,2.15,4.95,21.5
49037D,All About KombuchaDeposit Ginger & Lemon Can (Org) DRS-1,0,10,0.15,0.15,0,1.5
43609B,Suma Tea Tree & Aloe Vera Soap 6x90g,2/0,2/0,4.86,15.81,7.27,31.61
14926B,Atlantic Aromatics Eucalyptus Smithii (Org) 3x10ml,1/0,1/0,6.75,10.98,2.53,10.98
50676B,AW Artisan White Sage Smudge Torch Small 1x1,1,1,6.5,3.52,0.81,3.52
42652B,"BEE Health Propolis, Vitamin C & Zinc Tablets 1x60s",1,1,9.71,5.7,0.77,5.7
33912A,Bergerie Goat's Natural Yoghurt (Org) 8x125g,0/4,0/4,1.17,6.69,0,3.35
43023A,Bergerie Goat's Yoghurt Vanilla (Org) 8x125g,1/2,1/2,1.53,8.73,0,10.91
44808B,Better You Dlux+ Vitamin D + K2 Oral Spray 1x12ml,2,2,14.62,8.59,2.32,17.18
44738B,Bio D Grapefruit Washing Up Liquid 20L 1x20L,1,1,0,44.63,10.26,44.63
50153B,Biohealth Vitamin E Cream 1x84g,2,2,16.9,9.16,4.21,18.32
50236B,Biohealth Comfrey Ointment 1x84g,1,1,21.35,11.57,2.66,11.57
14021A,Biona Arrabbiata Hot & Spicy Pasta Sauce ( 6x350g,1/0,1/0,3.49,14.95,0,14.95
