Filename,Code,Product,Ordered,Qty,Ordered_Cases,Ordered_Units,Delivered_Cases,Delivered_Units,Case_Size,Total_Ordered_Units,Total_Delivered_Units,RSP,Price,Unit_Cost,Tax,Value,Price_Valid,Calc_Method,Expected_Value
Invoice(28).pdf,23800B,Doves Farm Bicarbonate of Soda 1x1kg,1,1,0,1.0,0,1.0,1,1.0,1.0,5.51,3.93,3.93,0.00,3.93,✓,,
Invoice(28).pdf,13591B,Maldon Maldon Sea Salt Packets 12x250g,1/0,1/0,1.0,0.0,1.0,0.0,12,12.0,12.0,4.98,42.65,3.55,0.00,42.65,✓,,
Invoice(28).pdf,51101B,Nature's Answer Oil of Oregano Extract 1x30ml,1,1,0,1.0,0,1.0,1,1.0,1.0,40.39,23.72,23.72,3.20,23.72,✓,,
Invoice(28).pdf,51053A,True Natural GoodneCshocolate Whey Protein (Org) 1x250g,1,1,0,1.0,0,1.0,1,1.0,1.0,14.28,8.99,8.99,1.21,8.99,✓,,
Invoice(28).pdf,51070A,Bett'r Wafer Bar w/Hazelnut Cream Filling ( 16x33g,1/0,0/0,1.0,0.0,0.0,0.0,16,16.0,0.0,2.04,18.94,1.18,0.00,0.00,✓,,
Invoice(28).pdf,51074A,Bett'r Chocolate Covered Hazelnuts (Org) 10x40g,1/0,0/0,1.0,0.0,0.0,0.0,10,10.0,0.0,2.34,13.60,1.36,0.00,0.00,✓,,
Invoice(28).pdf,51172B,Feel Complete Cayenne & Paprika Sea Salt 1x80g,1,0,0,1.0,0,0.0,1,1.0,0.0,8.36,5.97,5.97,0.00,0.00,✓,,
Invoice(28).pdf,51173B,Feel Complete Wild Garlic Sea Salt 1x80g,1,0,0,1.0,0,0.0,1,1.0,0.0,8.36,5.97,5.97,0.00,0.00,✓,,
Invoice(28).pdf,51162A,Green People Eucalyptus & Mint Anti-Itch Bar (Org 1x50g,1,0,0,1.0,0,0.0,1,1.0,0.0,12.76,6.92,6.92,0.00,0.00,✓,,
Invoice(28).pdf,51137B,KIKI (*EM*) Creatine Monohydrate 1x120VCaps,1,0,0,1.0,0,0.0,1,1.0,0.0,32.87,17.38,17.38,0.00,0.00,✓,,
Invoice(28).pdf,51105B,Nature's Answer Vitamin D3 4000IU 1x15ml,1,0,0,1.0,0,0.0,1,1.0,0.0,24.06,14.13,14.13,0.00,0.00,✓,,
Invoice(27).pdf,49037A,All About KombuchaGinger & Lemon Can (Org)(DRS) 1x330ml,12,12,0,12.0,0,12.0,1,12.0,12.0,3.70,2.15,2.15,5.93,25.80,✓,,
Invoice(27).pdf,49037D,All About KombuchaDeposit Ginger & Lemon Can (Org) DRS-1,0,12,0,0.0,0,12.0,,0.0,12.0,0.15,0.15,0.15,0.00,1.80,✓,,
Invoice(27).pdf,13165B,Aloe Dent Triple ActionToothpaste w CoQ10 6x100ml,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,6.91,22.48,3.75,5.17,22.48,✓,,
Invoice(27).pdf,43609B,Suma Tea Tree & Aloe Vera Soap 6x90g,2/0,2/0,2.0,0.0,2.0,0.0,6,12.0,12.0,4.86,15.81,2.64,7.27,31.61,✓,,
Invoice(27).pdf,43610B,Suma Patchouli & Sandalwood Soap 6x90g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,4.86,15.81,2.64,3.64,15.81,✓,,
Invoice(27).pdf,23570A,Amisa Pure Porridge Oats GF (Org) 6x325g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,3.47,14.85,2.48,0.00,14.85,✓,,
Invoice(27).pdf,49625A,Amisa Pure Porridge Oats GF (Org) 4x1kg,1/0,1/0,1.0,0.0,1.0,0.0,4,4.0,4.0,6.63,18.94,4.74,0.00,18.94,✓,,
Invoice(27).pdf,46128B,Bambaw Dish Brush with Coconut Bristles 1x1,2,2,0,2.0,0,2.0,1,2.0,2.0,7.60,4.12,4.12,1.89,8.23,✓,,
Invoice(27).pdf,33912A,Bergerie Goat's Natural Yoghurt (Org) 8x125g,0/3,0/3,0.0,3.0,0.0,3.0,8,3.0,3.0,1.17,6.69,0.84,0.00,2.51,✓,,
Invoice(27).pdf,43023A,Bergerie Goat's Yoghurt Vanilla (Org) 8x125g,1/2,0/4,1.0,2.0,0.0,4.0,8,10.0,4.0,1.53,8.73,1.09,0.00,4.36,✓,,
Invoice(27).pdf,44808B,Better You Dlux+ Vitamin D + K2 Oral Spray 1x12ml,3,3,0,3.0,0,3.0,1,3.0,3.0,14.62,8.59,8.59,3.48,25.76,✓,,
Invoice(27).pdf,32957B,Bio D Hand Wash Geranium 6x500ml,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,5.87,20.45,3.41,4.70,20.45,✓,,
Invoice(27).pdf,36933B,Bio D Fabric Conditioner Lavender 12x1L,1/0,1/0,1.0,0.0,1.0,0.0,12,12.0,12.0,5.46,38.04,3.17,8.75,38.04,✓,,
Invoice(27).pdf,46677A,Bio Inside Mini Spelt Caprese Pizza(Org) 10x(2x160g,0/1,0/1,0.0,1.0,0.0,1.0,2,1.0,1.0,6.07,43.35,4.34,0.00,4.34,✗,No matching calculation,
Invoice(27).pdf,45602B,BioKult Bio Kult Boosted 1x30Caps,3,3,0,3.0,0,3.0,1,3.0,3.0,29.37,17.25,17.25,6.99,51.75,✓,,
Invoice(27).pdf,50236B,Biohealth Comfrey Ointment 1x84g,1,1,0,1.0,0,1.0,1,1.0,1.0,21.35,11.57,11.57,2.66,11.57,✓,,
Invoice(27).pdf,14050A,Biona Cranberry Fruit Drink NAS 6x750ml,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,7.04,24.52,4.09,5.64,24.52,✓,,
Invoice(27).pdf,37613A,Biona Chilli Black Beans (Org) 6x400g,1/0,1/0,1.0,0.0,1.0,0.0,6,6.0,6.0,1.85,7.95,1.32,0.00,7.95,✓,,
