filename,page,line_on_page,confidence,reason,text
Invoice(28).pdf,1,3,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(28).pdf,1,5,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(28).pdf,1,13,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(28).pdf,1,28,MEDIUM,Contains special characters,0 0.00 46.58 0.00 DRS 15c 0 0.00 Tax: 4.41
Invoice(28).pdf,1,29,MEDIUM,Unknown,2 13.50 32.71 4.41 DRS 25c 0 0.00
Invoice(28).pdf,1,31,MEDIUM,Only 4 fields (expected 8),1 0.00 0.00 0.00
Invoice(27).pdf,1,3,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(27).pdf,1,5,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(27).pdf,1,13,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(27).pdf,2,3,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(27).pdf,2,5,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(27).pdf,2,13,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(27).pdf,3,3,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(27).pdf,3,5,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(27).pdf,3,13,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(27).pdf,4,3,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(27).pdf,4,5,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(27).pdf,4,13,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(27).pdf,5,3,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(27).pdf,5,5,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(27).pdf,5,13,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(27).pdf,6,3,LOW,No decimal prices found; Only 5 fields (expected 8); Contains special characters,"Unit 12, Ballyvourney Industrial Estate"
Invoice(27).pdf,6,5,LOW,No decimal prices found; No quantity pattern found; Only 1 fields (expected 8),Ballyvourney
Invoice(27).pdf,6,13,LOW,No decimal prices found,353 057 9125881 R42TY29 353 057 9125881 R42TY29
Invoice(27).pdf,6,34,MEDIUM,Contains special characters,1 23.00 963.12 221.53 DRS 15c 19 2.85 Tax: 267.54
Invoice(27).pdf,6,35,MEDIUM,Contains special characters,"0 0.00 1,212.98 0.00 DRS 25c 0 0.00"
Invoice(27).pdf,6,37,MEDIUM,Only 4 fields (expected 8),2 13.50 340.85 46.01
