Stock_Code,Description,Unit,RRP,Qty,Tr_Price,Disc_Percent,Total,VAT_Percent,SourcePDF
29004,BY Magnesium Joint Spray (100ml),Each,19.95,1,10.81,0.00,10.81,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
29023,BY Kid's Magnesium Sleep Whizz-popping Bath,Each,13.50,2,7.32,0.00,14.64,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
17044,TS Peppermint Oil - Organic (9ml),Each,13.25,4,7.18,0.00,28.72,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
17043,TS Patchouli Oil - Organic (9ml),Each,16.75,1,9.08,0.00,9.08,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
17028,TS Lavender Oil - Organic (9ml),Each,15.95,2,8.64,0.00,17.28,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
29012,BY Magnesium Gel (150ml),Each,17.75,2,9.62,0.00,19.24,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
29007,BY Magnesium Flakes (1kg),Each,14.95,3,8.10,0.00,24.30,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
33115,UR Wild Lemongrass Body Wash (200ml),Each,9.95,3,5.39,0.00,16.17,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
33343,UR Soft Wild Rose Ageless Serum (30ml),Each,8.95,3,4.85,0.00,14.55,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
33341,UR Soft Wild Rose Ageless Night Cream (50ml),Each,14.50,3,7.85,0.00,23.55,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
33258,UR Wild Lemongrass Cream Deodorant (50ml),Each,9.95,2,5.39,0.00,10.78,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
33256,UR Soft Wild Rose Cream Deodorant (50ml),Each,9.95,4,5.39,0.00,21.56,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
30929,SY Dishwashing Bar- Lime (120g),Each,6.50,2,3.52,0.00,7.04,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
30931,SY Liquid Hand Soap - Lavender & Tonka (300ml),Each,5.50,6,2.38,0.00,14.28,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
30930,SY Liquid Hand Soap - Eucalyptus & Rosemary,Each,5.50,6,2.38,0.00,14.28,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
30920,SY Washing Up Liquid - Lime (500ml),Each,4.95,3,2.68,0.00,8.04,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
30921,SY Washing Up Liquid - Eucalyptus (500ml),Each,4.95,3,2.68,0.00,8.04,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
12140,WL Rosemary Revitalising Hair Tonic (100ml),Each,19.50,1,10.57,0.00,10.57,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
12164,WL Foot Balm (75ml),Each,18.95,1,10.27,0.00,10.27,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
12001,WL Almond Gentle Milk Cleanser (75ml),Each,16.95,1,9.19,0.00,9.19,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
12225,WL Stretch Mark Body Butter (150ml),Each,26.50,1,14.36,0.00,14.36,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
12245,WL Ratanhia Mouthwash (50ml),Each,12.75,3,6.91,0.00,20.73,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
12151,WL Sage Deodorant (100ml),Each,15.95,3,8.64,0.00,25.92,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
12150,WL Citrus Fresh Deo Spray (100ml),Each,15.95,4,8.64,0.00,34.56,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
12240,WL Childrens Tooth Gel (50ml),Each,5.50,2,2.98,0.00,5.96,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
12241,WL Calendula Toothpaste (75ml),Each,7.25,1,3.93,0.00,3.93,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
30726,SK Shampoo & Shower Bar 2 in 1 (90g),Each,7.95,2,4.31,0.00,8.62,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
30725,SK Shampoo Bar Hydrating Power (90g),Each,7.95,3,4.31,0.00,12.93,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
30704,SK Shower Bar - Nourishing into the Deep (90g),Each,7.95,2,4.31,0.00,8.62,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
30730,SK Konjac Sponge - Pure Natural,Each,4.95,2,2.68,0.00,5.36,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
29030,BY D1000 Vitamin D Oral Spray (15ml) *New,Each,9.95,1,5.84,0.00,5.84,13.5,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
12242,WL Plant Gel Toothpaste (75ml),Each,7.25,1,3.93,0.00,3.93,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
20001,CV Manuka Honey UMF®5+ (250g),Each,20.50,1,8.20,0.00,8.20,0.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
20005,CV Manuka Honey UMF®10+ (500g),Each,69.95,1,27.98,0.00,27.98,0.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
12031,WL Aknedoron Cleansing Lotion (100ml),Each,16.50,2,8.94,0.00,17.88,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
17052,TS Tea Tree Oil - Organic (9ml),Each,13.25,1,7.18,0.00,7.18,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
30722,SK Shampoo Bar - Volume & Strength (90g),Each,7.95,3,4.31,0.00,12.93,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
30733,SK Reusable Cleansing Pads (7pads & washbag),Each,7.95,1,4.31,0.00,4.31,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
30711,SK Facial Cleansing Bar - Sensitive (50g),Each,9.95,2,5.39,0.00,10.78,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
12179,WL Skin Food Cleansing Balm (75ml),Each,16.95,1,9.19,0.00,9.19,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
30903,SY Laundry Detergent Wool & Delicates - Lotus,Each,10.95,1,5.93,0.00,5.93,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
33005,UR Coconut Shampoo - Moisturizing Normal Hair,Each,9.95,3,5.39,0.00,16.17,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
30744,SK Bamboo Bar Tray,Each,9.95,3,5.39,0.00,16.17,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
33342,UR Soft Wild Rose Ageless Eye Cream (15ml),Each,6.50,1,3.52,0.00,3.52,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
12030,WL Aknedoron Purifying Lotion (50ml),Each,16.50,2,8.94,0.00,17.88,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
21005,SM Mild Exfoliant (75ml),Each,13.50,2,7.13,0.00,14.26,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
23240,BB Peach & Willow Pore Scrub (110g),Each,14.95,2,7.90,0.00,15.80,23.0,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-117590.pdf
