Code,Ordered,Qty,SKU,Content,Description,Price,Sale,Total,SourcePDF
3785,18,18,1,4 pc,"Pita-bread white, Florentin Biologisch NL",1.35,2.39,24.30,Order_4191827.pdf
3786,4,4,1,4 pc,"Pita-bread spelt, Florentin Biologisch NL",1.75,2.99,7.00,Order_4191827.pdf
36268,1,1,8,200 gram,"Oatcookies mulberry hemp, Billy'Bsi ofalorgmisch NL",2.75,5.09,22.00,Order_4191827.pdf
51188,1,1,1,20 kilogram,"Oatmeal gluten-free, DO IT OrgaBniioclogisch FI",41.88,73.72,41.88,Order_4191827.pdf
80322,4,4,1,100 gram,"Soap buttermilk, Made by SpeickNon-food NL",1.36,2.89,5.44,Order_4191827.pdf
80324,4,4,1,100 gram,"Lavender-soap, Made by Speick Non-food NL",1.36,2.89,5.44,Order_4191827.pdf
80325,2,2,1,100 gram,"Olive-soap, Made by Speick Non-food NL",1.36,2.89,2.72,Order_4191827.pdf
80326,1,1,1,100 gram,"Sea-buckthorn-soap, Made by SpNeoinc-kfood NL",1.36,2.89,1.36,Order_4191827.pdf
81986,1,1,1,250 gram,"Honey-soap with rosemary, De TNraoany-food NL",4.36,7.99,4.36,Order_4191827.pdf
81990,1,1,1,250 gram,"Lavender-soap with propolis, De NToran-afoyod NL",4.36,7.99,4.36,Order_4191827.pdf
82402,2,2,1,75 millilitre,"Deo-spray long-lasting, Speick NNaotunr-afolo Adktiv NL",4.88,9.99,9.76,Order_4191827.pdf
83350,3,3,1,250 gram,"Psyllium-fiber, Mattisson Biologisch NL",6.47,11.39,19.41,Order_4191827.pdf
83629,2,2,1,250 millilitre,"Hand-soap sandalwood & cardamNoonm-f,o Modarcel's GreenN LSoap",2.09,4.19,4.18,Order_4191827.pdf
83822,1,1,1,200 gram,"Soy-lecetin-powder -96, MattissoBniologisch CN",11.57,21.49,11.57,Order_4191827.pdf
84256,1,1,1,60 pc,"Every day 50+ caps, Vitals Niet-biologisch NL",17.54,28.76,17.54,Order_4191827.pdf
84296,1,1,1,75 millilitre,"Fluorine toothpaste mint, UrtekraNmon-food NL",2.46,5.39,2.46,Order_4191827.pdf
84322,3,3,1,1 pc,"Bamboo soft toothbrush, NextBruNsohn-food CN",1.83,3.75,5.49,Order_4191827.pdf
88706,2,2,1,200 millilitre,"Aroma-shower relax, Weleda Non-food NL",4.06,7.49,8.12,Order_4191827.pdf
88745,1,1,1,60 pc,"Multivitamin 65+, Orthica Niet-biologisch NL",22.48,40.95,22.48,Order_4191827.pdf
88754,2,2,1,1 pc,"Soap-cushion from luffa, HydrophNiol n-food NL",2.77,5.99,5.54,Order_4191827.pdf
88758,1,1,1,1 pc,"Soap-dish bamboo, Botanique Non-food CN",2.89,7.99,2.89,Order_4191827.pdf
89925,2,2,1,50 millilitre,"Deodorant roll-on men 24 h, WeleNdoan-food NL",4.06,7.49,8.12,Order_4191827.pdf
90020,1,1,6,1 litre,"Olive-Oil mild, Ekoplaza Biologisch NL",7.21,13.99,43.26,Order_4191827.pdf
90030,1,1,6,250 millilitre,"Pumpkin-seed-oil cold-pressed, EBkioolopglaiszcah DE",3.21,6.39,19.26,Order_4191827.pdf
90043,1,1,6,500 millilitre,"Sunflower-Oil mild, Ekoplaza Biologisch NL",2.17,4.19,13.02,Order_4191827.pdf
90310,1,1,6,340 gram,"Beetroot, Ekoplaza Biologisch NL",0.90,1.79,5.40,Order_4191827.pdf
90338,1,1,6,340 gram,"Bean-Mix, Ekoplaza Biologisch NL",0.90,1.79,5.40,Order_4191827.pdf
91079,1,1,6,250 millilitre,"Agave syrup, Your Organic NaturBeiologisch NL",1.97,3.79,11.82,Order_4191827.pdf
91246,1,1,8,400 gram,"Gingerbread ginger, Your OrganiBc ioNloagtuisrceh . NL",1.44,2.79,11.52,Order_4191827.pdf
91695,2,2,6,1 kilogram,"Spelt-flour, Ekoplaza Biologisch DE",2.00,3.89,24.00,Order_4191827.pdf
91699,1,1,6,400 gram,"Quinoa, Your Organic Nature Biologisch NL",2.20,4.29,13.20,Order_4191827.pdf
91700,1,1,6,400 gram,"Millet, Your Organic Nature Biologisch NL",1.07,2.09,6.42,Order_4191827.pdf
91717,1,1,6,400 gram,"Quinoa-mix, Your Organic NatureBiologisch NL",2.28,4.29,13.68,Order_4191827.pdf
91729,1,1,8,250 gram,"Chia-seed, Your Organic Nature Biologisch NL",1.00,2.19,8.00,Order_4191827.pdf
91770,1,1,6,1 kilogram,"Basmati-rice white, Ekoplaza Biologisch NL",2.65,4.99,15.90,Order_4191827.pdf
91776,1,1,6,250 gram,"Fruit-spreads forest fruits, Your OBrigolaongiiscc Nh ature NL",1.59,2.99,9.54,Order_4191827.pdf
91815,1,1,6,360 gram,"Kidney-beans, Your Organic NatuBrioelogisch NL",1.04,1.99,6.24,Order_4191827.pdf
91827,1,1,6,330 gram,"Pickles sweet and sour, Your OrgBaionloicg iNscahture DE",2.08,3.99,12.48,Order_4191827.pdf
91828,1,1,6,670 gram,"Pickles acid, Your Organic NaturBeiologisch DE",2.47,4.79,14.82,Order_4191827.pdf
91846,1,1,6,375 gram,"Granola chocolate & hazelnut, YoBuiorl oOgrisgcahnic Nature NL",3.24,5.89,19.44,Order_4191827.pdf
91849,1,1,10,200 gram,"Granola-cakes spelt, MJAM Biologisch NL",1.64,3.19,16.40,Order_4191827.pdf
92218,1,1,4,600 gram,"Cashews, Ekoplaza Biologisch NL",6.70,12.79,26.80,Order_4191827.pdf
92220,1,1,6,700 gram,"Hazelnuts, Ekoplaza Biologisch NL",8.13,15.59,48.78,Order_4191827.pdf
92234,1,1,6,750 gram,"Raisins blue thompson, EkoplazaBiologisch NL",3.74,7.19,22.44,Order_4191827.pdf
92235,1,1,6,250 gram,"Figs dried, Ekoplaza Biologisch NL",2.86,5.49,17.16,Order_4191827.pdf
92237,2,2,6,250 gram,"Dates dried, seedless, Ekoplaza Biologisch NL",1.35,2.79,16.20,Order_4191827.pdf
92238,1,1,6,750 gram,"Dates dried, seedless, Ekoplaza Biologisch NL",3.39,6.69,20.34,Order_4191827.pdf
92272,1,1,8,200 gram,"Student-oats, Your Organic NatuBreiologisch NL",2.00,3.89,16.00,Order_4191827.pdf
92293,1,1,6,500 gram,"Walnuts, Ekoplaza Biologisch NL",4.23,8.39,25.38,Order_4191827.pdf
92301,1,1,6,1 kilogram,"Raisins sultana, Your Organic NaBtiuorloegisch NL",5.47,10.49,32.82,Order_4191827.pdf
92314,1,1,10,150 gram,"Pecans, Ekoplaza Biologisch NL",3.02,5.79,30.20,Order_4191827.pdf
92510,1,1,6,700 millilitre,"Oersap elderberries, Vitasap Biologisch DE 313",3.06,5.79,18.36,Order_4191827.pdf
93244,1,1,15,6 pc,"Chicken-stock-cubes clear withouBti oyloegaissct,h Your OrganAicT Nature",0.81,1.59,12.15,Order_4191827.pdf
93422,1,1,6,250 gram,"Coffee ground dark roast, EkoplaBziaologisch NL",3.82,7.39,22.92,Order_4191827.pdf
93423,1,1,6,250 gram,"Coffee ground decaf, Ekoplaza Biologisch NL",5.11,9.69,30.66,Order_4191827.pdf
93432,1,1,6,500 gram,"Coffee-beans 100% arabica, EkoBpiloalozgaisch NL",7.72,14.49,46.32,Order_4191827.pdf
94618,1,1,6,750 gram,"Flaxseed, Ekoplaza Biologisch NL",1.74,3.79,10.44,Order_4191827.pdf
94644,1,1,8,200 gram,"Pumpkin-seeds, Your Organic NaBtiuolroegisch NL",1.37,2.59,10.96,Order_4191827.pdf
94654,1,1,8,200 gram,"Pumpkin-seeds toasted, Your OrBgiaonloigci sNchature NL",1.54,2.99,12.32,Order_4191827.pdf
94727,1,1,6,400 gram,"Red-kidney-beans, Your OrganicB Nioalotugirsech NL",1.82,3.49,10.92,Order_4191827.pdf
94732,1,1,6,400 gram,"Lentil-dumplings, Your Organic NBaiotulorgeisch NL",1.62,3.09,9.72,Order_4191827.pdf
94752,1,1,6,700 millilitre,"Apple-mango-juice, Luna e TerraBio-Dynamisch DE 313",2.06,3.89,12.36,Order_4191827.pdf
94767,1,1,6,700 millilitre,"Apple-ginger-juice with beet, LunBai oe- DTyenrarma isch DE 313",1.90,3.59,11.40,Order_4191827.pdf
95465,1,1,6,1 litre,"Orange-juice, Your Organic NatuBreiologisch DE",2.93,4.39,17.58,Order_4191827.pdf
95467,1,1,4,"1,200 millilitre","Apple-juice, Your Organic NatureBiologisch DE",2.88,5.39,11.52,Order_4191827.pdf
97099,1,1,12,400 gram,"Diced-tomatoes, Your Organic NaBtioulroegisch . IT",0.70,1.39,8.40,Order_4191827.pdf
97166,1,1,6,1 litre,"Olive-Oil Spanish, Fertilia Biologisch NL",7.05,14.49,42.30,Order_4191827.pdf
97223,1,1,4,1 kilogram,"Muesli nut-fruits, Your Organic NBaitoulroegisch NL",3.60,6.69,14.40,Order_4191827.pdf
97228,1,1,6,100 gram,"Instant-Coffee instant, Biocafe Biologisch US",4.37,8.29,26.22,Order_4191827.pdf
97255,1,1,6,900 gram,"Flower-honey liquid, Your OrganiBci oNloagtiusrceh BE",4.70,8.49,28.20,Order_4191827.pdf
97285,1,1,10,1 litre,"Almond-Drink sugar free, EkoplazBaiologisch IT",1.53,3.19,15.30,Order_4191827.pdf
97395,1,1,12,200 gram,"Chocolate-bar milk hazelnut, HapBpioyl oCghisoccholate CH",3.14,5.99,37.68,Order_4191827.pdf
97396,1,1,15,200 gram,"Chocolate-bar milk 34%, Happy CBihoolocgoislachte CH",3.12,5.99,46.80,Order_4191827.pdf
97435,1,1,6,750 gram,"Plums dried, seedless, EkoplazaBiologisch FR",8.99,17.29,53.94,Order_4191827.pdf
