Stock_Code,Description,Unit,RRP,Qty,Tr_Price,Disc_Percent,Total,VAT_Percent,Calculated_Total,Validation_Status,SourcePDF
33141,UR Coconut Body Lotion (245ml),Each,12.95,6,7.02,0.00,42.12,23.0,42.12,PASS,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-119404.pdf
12244,WL Ratanhia Toothpaste (75ml),Each,7.25,3,3.93,0.00,11.79,23.0,11.79,PASS,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-119404.pdf
12242,WL Plant Gel Toothpaste (75ml),Each,7.25,1,3.93,0.00,3.93,23.0,3.93,PASS,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-119404.pdf
21052,SM Dead Sea Spa Salts (1kg),Each,7.95,1,4.20,0.00,4.20,23.0,4.20,PASS,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-119404.pdf
11105,SH Organic Hawthorn Tea (15 Teabags),Each,3.50,2,2.33,0.00,4.66,0.0,4.66,PASS,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-119404.pdf
11108,SH Organic Lemon Balm Tea(15 Teabags),Each,3.50,2,2.33,0.00,4.66,0.0,4.66,PASS,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-119404.pdf
20001,CV Manuka Honey UMF®5+ (250g),Each,20.50,1,13.67,0.00,13.67,0.0,13.67,PASS,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-119404.pdf
20005,CV Manuka Honey UMF®10+ (500g),Each,69.95,1,46.63,0.00,46.63,0.0,46.63,PASS,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-119404.pdf
29007,BY Magnesium Flakes (1kg),Each,14.95,1,6.48,0.00,6.48,23.0,6.48,PASS,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-119404.pdf
29012,BY Magnesium Gel (150ml),Each,17.75,2,7.70,0.00,15.40,23.0,15.40,PASS,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-119404.pdf
12150,WL Citrus Fresh Deo Spray (100ml),Each,15.95,2,8.64,0.00,17.28,23.0,17.28,PASS,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-119404.pdf
12030,WL Aknedoron Purifying Lotion (50ml),Each,16.50,1,6.71,0.00,6.71,23.0,6.71,PASS,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-119404.pdf
12031,WL Aknedoron Cleansing Lotion (100ml),Each,16.50,1,6.71,0.00,6.71,23.0,6.71,PASS,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-119404.pdf
12110,WL Arnica Muscle Soak (200ml),Each,22.50,1,12.20,0.00,12.20,23.0,12.20,PASS,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-119404.pdf
17043,TS Patchouli Oil - Organic (9ml),Each,16.75,1,9.08,0.00,9.08,23.0,9.08,PASS,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-119404.pdf
17028,TS Lavender Oil - Organic (9ml),Each,15.95,1,8.64,0.00,8.64,23.0,8.64,PASS,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-119404.pdf
17089,TS Calibrated Mixing Bottle (50ml),Each,7.25,1,3.93,0.00,3.93,23.0,3.93,PASS,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-119404.pdf
17120,TS Sleep Body & Pillow Mist (100ml),Each,16.95,1,7.35,0.00,7.35,23.0,7.35,PASS,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-119404.pdf
17052,TS Tea Tree Oil - Organic (9ml),Each,13.25,1,7.18,0.00,7.18,23.0,7.18,PASS,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-119404.pdf
17065,TS Tea Tree Oil - Organic (20ml),Each,21.25,1,11.52,0.00,11.52,23.0,11.52,PASS,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-119404.pdf
30741,SK Bamboo Bar Dish - Round,Each,5.50,1,2.98,0.00,2.98,23.0,2.98,PASS,Sales Invoice  The Natural Medicine Company(SAL1037) - SI-119404.pdf
