Code,Ordered,Qty,SKU,Content,Description,Price,Sale,Total,Calculated_Total,Validation_Status,SourcePDF
42,1,1,12,1 pc,"Lettuce oakleaf green, . Biologisch Klasse II FR",1.22,2.59,14.64,14.64,PASS,Order_4294419.pdf
50,1,1,10,1 pc,"Scallions, . Bio-DynamisKclhasse I IT",1.85,2.99,18.50,18.50,PASS,Order_4294419.pdf
53,1,1,10,1 kilogram,"Onions red 40/60, . Bio-DynamisKclhasse I NL",1.46,2.99,14.60,14.60,PASS,Order_4294419.pdf
88,1,1,5,1 kilogram,"Spinach, . Biologisch Klasse II FR",3.62,8.98,18.10,18.10,PASS,Order_4294419.pdf
108,1,1,8,1 pc,"Cauliflower, . Biologisch Klasse II IT",1.67,3.59,13.36,13.36,PASS,Order_4294419.pdf
342,4,4,1,200 gram,"Precooked chestnuts, . Biologisch Klasse I FR",3.38,4.99,13.52,13.52,PASS,Order_4294419.pdf
447,3,3,1,130 gram,"Gardencress (9), Discover FreshBiologisch Klasse I NL",0.63,1.09,1.89,1.89,PASS,Order_4294419.pdf
461,1,1,10,1 pc,"Mango, . Biologisch Klasse I PE",1.35,2.99,13.50,13.50,PASS,Order_4294419.pdf
518,1,1,7,1 kilogram,"Pear Doyenne, . Biologisch Klasse II NL",2.74,4.98,19.18,19.18,PASS,Order_4294419.pdf
590,3,3,1,1 pc,"Pineapple, . Biologisch Klasse II CR",2.24,2.99,6.72,6.72,PASS,Order_4294419.pdf
624,1,1,6,1 kilogram,"Oranges 3/6, . Bio-DynamisKclhasse I ES",1.71,4.98,10.26,10.26,PASS,Order_4294419.pdf
11647,2,2,1,1 pc,"Lettuce iceberg, . Biologisch ES",1.78,2.79,3.56,3.56,PASS,Order_4294419.pdf
11997,7,7,1,750 gram,"Dates Dalia Sukkary, Yogi & YouBsieoflo'sgisch Klasse I SA",7.58,12.99,53.06,53.06,PASS,Order_4294419.pdf
12047,1,1,12,125 gram,"Blueberry, . Biologisch Klasse II CL",2.07,3.59,24.84,24.84,PASS,Order_4294419.pdf
12066,6,6,1,10 pc,"Dates with Chocolat, Yogi & YouBseiofl'osgisch Klasse I SA",3.83,5.99,22.98,22.98,PASS,Order_4294419.pdf
17116,1,1,10,200 gram,"Broccoli® bimi, . Biologisch Klasse I ES",1.98,3.59,19.80,19.80,PASS,Order_4294419.pdf
6000404,8,8,1,235 gram,"Dates 235 gr, Yogi & Yousef's Biologisch Klasse I SA",2.94,5.99,23.52,23.52,PASS,Order_4294419.pdf
3785,3,3,1,260 gram,"Pita-bread white, Florentin Biologisch NL",1.42,2.39,4.26,4.26,PASS,Order_4294423.pdf
53915,1,1,1,25 kilogram,"Cane-sugar, DO IT Organic Biologisch IN",42.56,76.99,42.56,42.56,PASS,Order_4294423.pdf
80009,1,1,1,100 millilitre,"Massage-oil arnica, Weleda Non-food NL",8.12,14.99,8.12,8.12,PASS,Order_4294423.pdf
80322,2,2,1,100 gram,"Soap buttermilk, Made by SpeickNon-food NL",1.36,2.89,2.72,2.72,PASS,Order_4294423.pdf
80516,2,2,1,20 millilitre,"Tea-Tree oil, Chi Biologisch NL",8.05,17.99,16.10,16.10,PASS,Order_4294423.pdf
81990,2,2,1,250 gram,"Lavender-soap with propolis, De NToran-afoyod NL",4.36,7.99,8.72,8.72,PASS,Order_4294423.pdf
82402,1,1,1,75 millilitre,"Deo-spray long-lasting, Speick NNaotunr-afolo Adktiv NL",4.88,9.99,4.88,4.88,PASS,Order_4294423.pdf
83350,3,3,1,250 gram,"Psyllium-fiber, Mattisson Biologisch NL",6.47,11.39,19.41,19.41,PASS,Order_4294423.pdf
83996,2,2,1,30 millilitre,"Skin food light, Weleda Non-food NL",2.78,4.86,5.56,5.56,PASS,Order_4294423.pdf
84266,1,1,1,100 gram,"Black soap, Made by Speick Non-food NL",2.56,4.99,2.56,2.56,PASS,Order_4294423.pdf
84296,1,1,1,75 millilitre,"Fluorine toothpaste mint, UrtekraNmon-food NL",2.46,5.39,2.46,2.46,PASS,Order_4294423.pdf
84319,3,3,1,1 pc,"Bamboo children's toothbrush, NNexotnB-frouosdh NL",1.70,3.75,5.10,5.10,PASS,Order_4294423.pdf
84322,3,3,1,1 pc,"Bamboo soft toothbrush, NextBruNsohn-food NL",1.83,3.75,5.49,5.49,PASS,Order_4294423.pdf
84455,3,3,1,75 millilitre,"Skin-food light, Weleda Non-food NL",4.69,8.24,14.07,14.07,PASS,Order_4294423.pdf
84686,2,2,1,60 pc,"Fish-oil capsules, Arctic Blue Niet-biologisch NL",7.43,13.50,14.86,14.86,PASS,Order_4294423.pdf
88702,2,2,1,200 millilitre,"Shower-Gel arnica, sports, WeledNaon-food NL",4.06,7.49,8.12,8.12,PASS,Order_4294423.pdf
88705,2,2,1,200 millilitre,"Aroma-shower love, Weleda Non-food NL",4.06,7.49,8.12,8.12,PASS,Order_4294423.pdf
88716,2,2,1,200 millilitre,"Shower-Cream pomegranate, insNpoirne-f,o Wodeleda NL",4.06,7.49,8.12,8.12,PASS,Order_4294423.pdf
88717,2,2,1,200 millilitre,"Shower-Cream sea buckthorn, viNtaolnit-yfo, oWd eleda NL",4.06,7.49,8.12,8.12,PASS,Order_4294423.pdf
88758,1,1,1,1 pc,"Soap-dish bamboo, Botanique Non-food DE",2.89,7.99,2.89,2.89,PASS,Order_4294423.pdf
88805,3,3,1,300 millilitre,"Hand-soap wild lemongrass, UrteNkireat-mbiologisch NL",3.22,6.49,9.66,9.66,PASS,Order_4294423.pdf
90020,1,1,6,1 litre,"Olive-Oil mild, Ekoplaza Biologisch NL",7.21,13.99,43.26,43.26,PASS,Order_4294423.pdf
90303,1,1,6,340 gram,"Corn young, Ekoplaza Biologisch NL",1.02,1.99,6.12,6.12,PASS,Order_4294423.pdf
90371,1,1,6,360 gram,"White-bean, Ekoplaza Biologisch NL",0.97,1.89,5.82,5.82,PASS,Order_4294423.pdf
90514,1,1,12,200 gram,"Spelt-cookie buttercream, EkoplaBzioalogisch DE",1.28,2.69,15.36,15.36,PASS,Order_4294423.pdf
91031,1,1,6,450 gram,"Flower-honey liquid, Ekoplaza Biologisch . NL",2.50,4.39,15.00,15.00,PASS,Order_4294423.pdf
91699,1,1,6,400 gram,"Quinoa, Your Organic Nature Biologisch NL",2.15,4.29,12.90,12.90,PASS,Order_4294423.pdf
91700,1,1,6,400 gram,"Millet, Your Organic Nature Biologisch NL",1.07,2.09,6.42,6.42,PASS,Order_4294423.pdf
91704,1,1,6,400 gram,"Basmati-rice white, Your OrganicB Nioalotguirsech NL",1.25,2.39,7.50,7.50,PASS,Order_4294423.pdf
91726,1,1,6,400 gram,"Almond-flour, Your Organic NatuBreiologisch NL",4.43,8.69,26.58,26.58,PASS,Order_4294423.pdf
