Code,Ordered,Qty,SKU,Content,Description,Price,Sale,Total
42,1,1,12,1 pc,"Lettuce oakleaf green, . Biologisch Klasse II FR",1.22,2.59,14.64
50,1,1,10,1 pc,"Scallions, . Bio-DynamisKclhasse I IT",1.85,2.99,18.5
53,1,1,10,1 kilogram,"Onions red 40/60, . Bio-DynamisKclhasse I NL",1.46,2.99,14.6
88,1,1,5,1 kilogram,"Spinach, . Biologisch Klasse II FR",3.62,8.98,18.1
108,1,1,8,1 pc,"Cauliflower, . Biologisch Klasse II IT",1.67,3.59,13.36
342,4,4,1,200 gram,"Precooked chestnuts, . Biologisch Klasse I FR",3.38,4.99,13.52
447,3,3,1,130 gram,"Gardencress (9), Discover FreshBiologisch Klasse I NL",0.63,1.09,1.89
461,1,1,10,1 pc,"Mango, . Biologisch Klasse I PE",1.35,2.99,13.5
518,1,1,7,1 kilogram,"Pear Doyenne, . Biologisch Klasse II NL",2.74,4.98,19.18
590,3,3,1,1 pc,"Pineapple, . Biologisch Klasse II CR",2.24,2.99,6.72
624,1,1,6,1 kilogram,"Oranges 3/6, . Bio-DynamisKclhasse I ES",1.71,4.98,10.26
11647,2,2,1,1 pc,"Lettuce iceberg, . Biologisch ES",1.78,2.79,3.56
11997,7,7,1,750 gram,"Dates Dalia Sukkary, Yogi & YouBsieoflo'sgisch Klasse I SA",7.58,12.99,53.06
12047,1,1,12,125 gram,"Blueberry, . Biologisch Klasse II CL",2.07,3.59,24.84
12066,6,6,1,10 pc,"Dates with Chocolat, Yogi & YouBseiofl'osgisch Klasse I SA",3.83,5.99,22.98
17116,1,1,10,200 gram,"Broccoli® bimi, . Biologisch Klasse I ES",1.98,3.59,19.8
6000404,8,8,1,235 gram,"Dates 235 gr, Yogi & Yousef's Biologisch Klasse I SA",2.94,5.99,23.52
3785,3,3,1,260 gram,"Pita-bread white, Florentin Biologisch NL",1.42,2.39,4.26
53915,1,1,1,25 kilogram,"Cane-sugar, DO IT Organic Biologisch IN",42.56,76.99,42.56
80009,1,1,1,100 millilitre,"Massage-oil arnica, Weleda Non-food NL",8.12,14.99,8.12
80322,2,2,1,100 gram,"Soap buttermilk, Made by SpeickNon-food NL",1.36,2.89,2.72
80516,2,2,1,20 millilitre,"Tea-Tree oil, Chi Biologisch NL",8.05,17.99,16.1
81990,2,2,1,250 gram,"Lavender-soap with propolis, De NToran-afoyod NL",4.36,7.99,8.72
82402,1,1,1,75 millilitre,"Deo-spray long-lasting, Speick NNaotunr-afolo Adktiv NL",4.88,9.99,4.88
83350,3,3,1,250 gram,"Psyllium-fiber, Mattisson Biologisch NL",6.47,11.39,19.41
83996,2,2,1,30 millilitre,"Skin food light, Weleda Non-food NL",2.78,4.86,5.56
84266,1,1,1,100 gram,"Black soap, Made by Speick Non-food NL",2.56,4.99,2.56
84296,1,1,1,75 millilitre,"Fluorine toothpaste mint, UrtekraNmon-food NL",2.46,5.39,2.46
84319,3,3,1,1 pc,"Bamboo children's toothbrush, NNexotnB-frouosdh NL",1.7,3.75,5.1
84322,3,3,1,1 pc,"Bamboo soft toothbrush, NextBruNsohn-food NL",1.83,3.75,5.49
84455,3,3,1,75 millilitre,"Skin-food light, Weleda Non-food NL",4.69,8.24,14.07
84686,2,2,1,60 pc,"Fish-oil capsules, Arctic Blue Niet-biologisch NL",7.43,13.5,14.86
88702,2,2,1,200 millilitre,"Shower-Gel arnica, sports, WeledNaon-food NL",4.06,7.49,8.12
88705,2,2,1,200 millilitre,"Aroma-shower love, Weleda Non-food NL",4.06,7.49,8.12
88716,2,2,1,200 millilitre,"Shower-Cream pomegranate, insNpoirne-f,o Wodeleda NL",4.06,7.49,8.12
88717,2,2,1,200 millilitre,"Shower-Cream sea buckthorn, viNtaolnit-yfo, oWd eleda NL",4.06,7.49,8.12
88758,1,1,1,1 pc,"Soap-dish bamboo, Botanique Non-food DE",2.89,7.99,2.89
88805,3,3,1,300 millilitre,"Hand-soap wild lemongrass, UrteNkireat-mbiologisch NL",3.22,6.49,9.66
90020,1,1,6,1 litre,"Olive-Oil mild, Ekoplaza Biologisch NL",7.21,13.99,43.26
90303,1,1,6,340 gram,"Corn young, Ekoplaza Biologisch NL",1.02,1.99,6.12
90371,1,1,6,360 gram,"White-bean, Ekoplaza Biologisch NL",0.97,1.89,5.82
90514,1,1,12,200 gram,"Spelt-cookie buttercream, EkoplaBzioalogisch DE",1.28,2.69,15.36
91031,1,1,6,450 gram,"Flower-honey liquid, Ekoplaza Biologisch . NL",2.5,4.39,15
91699,1,1,6,400 gram,"Quinoa, Your Organic Nature Biologisch NL",2.15,4.29,12.9
91700,1,1,6,400 gram,"Millet, Your Organic Nature Biologisch NL",1.07,2.09,6.42
91704,1,1,6,400 gram,"Basmati-rice white, Your OrganicB Nioalotguirsech NL",1.25,2.39,7.5
91726,1,1,6,400 gram,"Almond-flour, Your Organic NatuBreiologisch NL",4.43,8.69,26.58
91727,1,1,6,400 gram,"Coconut-flour unroasted, Your OrBgioalnogicis Nchature NL",1.1,2.29,6.6
91843,1,1,6,500 gram,"Chickpea-flour, Your Organic NatBuiorelogisch NL",1.85,3.49,11.1
91849,1,1,10,200 gram,"Granola-cakes spelt, MJAM Biologisch NL",1.73,3.29,17.3
92235,1,1,6,250 gram,"Figs dried, Ekoplaza Biologisch NL",3.15,5.99,18.9
92236,1,1,6,750 gram,"Figs dried, Ekoplaza Biologisch NL",8.26,15.79,49.56
92238,1,1,6,750 gram,"Dates dried, seedless, Ekoplaza Biologisch NL",3.82,7.29,22.92
92263,1,1,6,160 gram,"Banana-chips, Your Organic NatuBrioelogisch NL",1.18,2.29,7.08
92308,1,1,8,250 gram,"Mango dried, Ekoplaza Biologisch BF",3.29,6.49,26.32
92487,1,1,6,400 millilitre,"Coconut-milk, Ekoplaza Biologisch NL",1.29,2.49,7.74
92504,1,1,12,200 millilitre,"Fruit-juice pineapple, Your OrganBicio Nlogaitsucrhe DE 313",1.16,2.29,13.92
92807,1,1,6,490 gram,"Mayonnaise full and creamy, EkoBpiolalozgaisch . NL",2.39,4.49,14.34
93424,1,1,6,250 gram,"Coffee ground Arabica, EkoplazaBiologisch NL",3.94,7.59,23.64
94618,1,1,6,750 gram,"Flaxseed, Ekoplaza Biologisch NL",1.97,4.29,11.82
94645,1,1,6,1 kilogram,"Pumpkin-seeds, Your Organic NaBtiuolroegisch NL",5.8,10.89,34.8
94748,1,1,6,1 litre,"Apple-juice naturally turbid, LunaB eio T-Deyrnraamisch DE 313",1.89,3.59,11.34
94752,1,1,6,700 millilitre,"Apple-mango-juice, Luna e TerraBio-Dynamisch DE 313",2.06,3.89,12.36
94767,1,1,6,700 millilitre,"Apple-ginger-juice with beet, LunBai oe- DTyenrarma isch DE 313",1.9,3.59,11.4
94815,1,1,6,490 gram,"Mixed-Nuts, Wisselwaar Biologisch NL 315",5.96,10.49,35.76
97131,1,1,8,500 gram,"Spiral-paste spelt, white, Luna e BTieor-rDaynamisch DE",2.15,3.99,17.2
97166,1,1,6,1 litre,"Olive-Oil Spanish, Fertilia Biologisch NL",7.05,14.49,42.3
97223,1,1,4,1 kilogram,"Muesli nut-fruits, Your Organic NBaitoulroegisch NL",3.6,6.69,14.4
97234,1,1,6,400 gram,"Energy-mix superfood, Nice & NuBtisologisch NL",4.43,8.49,26.58
97285,1,1,10,1 litre,"Almond-Drink sugar free, EkoplazBaiologisch IT",1.66,3.19,16.6
97505,1,1,8,750 millilitre,"WC cleaner, The Good Witch Non-food NL",1.83,3.89,14.64
5000115,1,1,6,500 gram,"Rice-Flakes, Meesters van de HaBlmiologisch NL",2.92,5.29,17.52
5000168,1,1,6,350 gram,"Tahin without salt, Horizon Biologisch NL",3.32,5.99,19.92
5000309,1,1,6,400 millilitre,"Chicken-broth, KleinstesoepfabrieBkiologisch NL",2.92,4.99,17.52
5000345,1,1,12,100 gram,"Rice-puff-cakes dark carob, BonvBitioalogisch CH",1.69,2.99,20.28
5001443,1,1,6,400 gram,"White-bean, La Bio Idea Biologisch NL",1.06,1.89,6.36
5001479,1,1,6,500 gram,"Shells tricolore, La Bio Idea Biologisch NL",1.74,3.19,10.44
5001631,1,1,6,180 gram,"Croissant buttercream, ZonnemaBirieologisch NL",1.79,3.69,10.74
5001744,1,1,12,250 gram,"Crackers sesame & rosemary, CBriicohlogisch IT",1.77,3.19,21.24
5002093,1,1,6,1 litre,"Maple-syrup Canadian A degree,B Vioelorgtmiscohnt DK",13.46,23.99,80.76
5002409,1,1,6,250 gram,"Herbal-salt original, A. Vogel Biologisch NL",3.14,5.79,18.84
5002998,1,1,12,400 gram,"Tomato-pieces basil, La Bio IdeaBiologisch . IT",1.14,1.99,13.68
5003438,1,1,6,300 gram,"Cracker wholemeal sesame, ZonBnieolmogaisirceh NL",2.09,3.69,12.54
5003567,2,2,8,1 litre,"Soyadrink natural, Natumi Biologisch AT",1.06,1.99,16.96
5003568,1,1,8,1 litre,"Rice-Drink natural, Natumi Biologisch AT",1.46,2.59,11.68
5003569,4,4,8,1 litre,"Oat-Drink natural, Natumi Biologisch AT",1.45,2.59,46.4
5004487,1,1,10,125 gram,"Potato-chips salted classic, GoPuBrioelogisch NL",1.3,2.39,13
5005972,1,1,6,500 millilitre,"Lemonade-syrup Elderflower, BeBlvioolior gFisacrhm NL",4.62,7.99,27.72
5005973,1,1,6,500 millilitre,"Lemonade-syrup ginger, Belvoir FBaiorlmogisch NL",4.62,7.99,27.72
5006035,1,1,12,750 millilitre,"Mineral-water without carbon dioxNidieet-,a Lgrlaarnisllcyhr NL",1.08,1.99,12.96
5006414,1,1,15,160 gram,"Tuna-pieces in water, Fish 4 EveNr atuur/wild DE",2.07,3.79,31.05
5006422,1,1,1,320 gram,"Baguette rustic gluten free, SchnBitzioelorgisch . NL",2.92,5.29,2.92
5006472,1,1,6,750 millilitre,"Apple-juice, Schulp Biologisch NL",2.01,3.69,12.06
5006829,2,2,6,400 millilitre,"Coconut-milk, TerraSana Biologisch LK",1.92,3.49,23.04
5006968,1,1,12,330 millilitre,"Lemonade lime, Lemonaid+ Biologisch DE",1.35,2.39,16.2
5006971,1,1,12,330 millilitre,"Icetea green, ChariTea Biologisch DE",1.35,2.39,16.2
5006972,1,1,12,330 millilitre,"Icetea mate, ChariTea Biologisch DE",1.35,2.39,16.2
