Code,Ordered,Qty,SKU,Content,Description,Price,Sale,Total,SourcePDF
1267,2,2,10,300 gram,"Mango, Natural Cool Biologisch BE",2.46,4.69,49.2,Order_4221461.pdf
2008,1,1,18,90 millilitre,"Vegan-ice cream pipo vanilla sBtrioalwogbisecrhry, Ice CreaNmL Factory",1.04,1.99,18.72,Order_4221461.pdf
3511,1,1,10,390 gram,"Rösti-rounds, Natural Cool Bio-Dynamisch DE",2.35,4.29,23.5,Order_4221461.pdf
3512,1,1,10,400 gram,"Potato-croquettes, Natural CooBlio-Dynamisch DE",2.74,5.39,27.4,Order_4221461.pdf
3517,1,1,10,300 gram,"Sour-cherry, Natural Cool Biologisch DE",2.35,5.19,23.5,Order_4221461.pdf
3519,3,3,10,300 gram,"Forest-fruit-mix, Natural Cool Biologisch DE",2.46,4.99,73.8,Order_4221461.pdf
3520,5,5,10,300 gram,"Blueberry, Natural Cool Biologisch DE",2.69,5.39,134.5,Order_4221461.pdf
3537,1,1,10,300 gram,"Strawberries, Natural Cool Biologisch DE",2.46,4.69,24.6,Order_4221461.pdf
3540,1,1,16,450 gram,"Potata wedges with skin, NaturBaiol -CDoynoalmisch DE",1.68,3.49,26.88,Order_4221461.pdf
3702,2,2,8,450 gram,"Peas, Natural Cool Bio-Dynamisch DE",1.93,3.69,30.88,Order_4221461.pdf
3704,1,1,8,300 gram,"Broccoli, Natural Cool Bio-Dynamisch DE",1.39,2.59,11.12,Order_4221461.pdf
3708,1,1,12,600 gram,"Oven-fries, Natural Cool Bio-Dynamisch DE",2.04,3.49,24.48,Order_4221461.pdf
34014,1,1,7,345 gram,"Pizza pesto vegan, Bio Inside Biologisch IT",3.13,5.69,21.91,Order_4221461.pdf
34017,1,1,8,450 gram,"Pea-carrot-mix, Natural Cool Bio-Dynamisch NL",1.56,2.99,12.48,Order_4221461.pdf
34043,2,2,5,1 kilogram,"Blueberry, PureBlu Bio-Dynamisch NL",9.59,17.9,95.9,Order_4221461.pdf
34159,1,1,10,250 gram,"Strawberries fresh frozen, YouBr iOolorggiascnhic Nature NL",2.59,4.99,25.9,Order_4221461.pdf
34160,2,2,10,250 gram,"Raspberries fresh frozen, YourB Oiorloggaisncihc Nature NL",3.67,5.99,73.4,Order_4221461.pdf
34162,1,1,10,250 gram,"Blueberry fresh frozen, Your OBrgioalongiics cNhature NL",2.53,4.99,25.3,Order_4221461.pdf
34164,1,1,10,250 gram,"Mango fresh frozen, Your OrgaBnioiclo gNisacthure NL",1.7,4.99,17,Order_4221461.pdf
34472,1,1,10,360 gram,"Pizza goat cheese, La Pizza duB Mioloougilsicnh NL",2.86,5.49,28.6,Order_4221461.pdf
34474,1,1,6,500 millilitre,"Ice-cream sea salted caramel, HBiaoplopgiys cMhrs. JerseyNL",3.53,6.39,21.18,Order_4221461.pdf
34511,1,1,10,360 gram,"Pizza cheese and ham, La PizzBai odloug iMscohulin NL",2.71,5.29,27.1,Order_4221461.pdf
34579,1,1,24,110 millilitre,"Ice-cream strawberry cone, IceB Ciorloegaimsch Factory BE",1.25,2.69,30,Order_4221461.pdf
34777,1,1,10,250 gram,"Blueberry-raspberry fresh frozBeinol,o Ygioscuhr Organic NNaLture",3.08,4.99,30.8,Order_4221461.pdf
35610,1,1,8,330 gram,"Pizza margherita gluten-free, BBioio lIongsisicdhe . IT",3.5,6.49,28,Order_4221461.pdf
35616,1,1,2,"2,500 millilitre","Ice-cream bourbon-vanilla, BoeBriodleogriisjsch NL",14.38,27.29,28.76,Order_4221461.pdf
36489,1,1,6,500 millilitre,"Vegan-ice cream vanilla doughB ciohloogcisoclhate, cashewN,L Ice Cream F3 a,1 c7 tory",6.39,5,19.02,Order_4221461.pdf
36499,1,1,6,60 millilitre,"Ice cream mini cone mix, Ice CBreioalomgi sFcahctory BE",5.22,8.99,31.32,Order_4221461.pdf
38856,2,2,10,360 gram,"Pizza 3 cheeses, La Pizza du MBoioulolignisch FR",2.58,5.49,51.6,Order_4221461.pdf
45347,24,24,8,90 gram,"Muffin apple cinnamon, Van deBri oWlogeissctehn NL",1.14,1.99,218.88,Order_4221461.pdf
45348,24,24,8,90 gram,"Muffin blueberry, Van der WestBeionlogisch NL",1.14,1.99,218.88,Order_4221461.pdf
45445,1,1,6,200 gram,"Pork-slavink, Lebon Biologisch NL",3.45,6.75,20.7,Order_4221461.pdf
45446,1,1,6,220 gram,"Pork-sausage, Lebon Biologisch NL",3.58,8.4,21.48,Order_4221461.pdf
45776,1,1,6,225 millilitre,"Fruit-popsicle raspberry hibiscBuiosl,o Ngisicceh NL",3.06,5.79,18.36,Order_4221461.pdf
45777,1,1,6,240 millilitre,"Fruit-popsicle pure strawberry,B Nioilocgeisch NL",3.06,5.69,18.36,Order_4221461.pdf
45827,1,1,9,440 gram,"Pizza margherita large, followfoBioodlogisch DE",3.7,6.79,33.3,Order_4221461.pdf
